006000	016000	026000	036000	046000	056000	066000	076000
386000	396000	3A6000	3B6000	3C6000	3D6000	3E6000	3F6000
106000	116000	126000	136000	146000	156000	166000	176000
206000	216000	226000	236000	246000	256000	266000	276000
086000	096000	0A6000	0B6000	0C6000	0D6000	0E6000	0F6000
387000	397000	3A7000	3B7000	3C7000	3D7000	3E7000	3F7000
286000	296000	2A6000	2B6000	2C6000	2D6000	2E6000	2F6000
306000	316000	326000	336000	346000	356000	366000	376000
186000	196000	1A6000	1B6000	1C6000	1D6000	1E6000	1F6000
087000	097000	0A7000	0B7000	0C7000	0D7000	0E7000	0F7000
307000	317000	327000	337000	347000	357000	367000	377000
007000	017000	027000	037000	047000	057000	067000	077000
107000	117000	127000	137000	147000	157000	167000	177000
287000	297000	2A7000	2B7000	2C7000	2D7000	2E7000	2F7000
187000	197000	1A7000	1B7000	1C7000	1D7000	1E7000	1F7000
207000	217000	227000	237000	247000	257000	267000	277000

LEFT AFTER 400 SEC
	016000						
							3F6000
							
							
086000					0D6000		
						3E7000	
				2C6000			
							
							
	097000			0C7000			
		327000					
007000							
							
		2A7000					
							
207000		227000					277000
